527399280	20150406	201504	2015	2015.263	EDU	UNIVERSITY						EDU			CHN	CHINA	CHN								0	51	51	5	1	3.4	1	1	1	2.2530329289	3	Dayton, Ohio, United States	US	USOH	39.7589	-84.1916	1064514	3	Dayton, Ohio, United States	US	USOH	39.7589	-84.1916	1064514	3	Dayton, Ohio, United States	US	USOH	39.7589	-84.1916	1064514	20160405	http://www.mydaytondailynews.com/news/news/fuyao-chairman-moraine-plant-will-need-more-than-2/nqxRJ/
527399281	20150406	201504	2015	2015.263	EDU	UNIVERSITY						EDU			USA	UNITED STATES	USA								0	51	51	5	1	3.4	2	1	2	2.2530329289	3	Dayton, Ohio, United States	US	USOH	39.7589	-84.1916	1064514	3	Dayton, Ohio, United States	US	USOH	39.7589	-84.1916	1064514	3	Dayton, Ohio, United States	US	USOH	39.7589	-84.1916	1064514	20160405	http://www.mydaytondailynews.com/news/news/fuyao-chairman-moraine-plant-will-need-more-than-2/nqxRJ/
527399282	20150406	201504	2015	2015.263	GOV	PRESIDENT						GOV			LEG	PARLIAMENT						LEG			0	13	13	1	1	0.4	18	3	18	1.0559984768	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	20160405	http://www.namibian.com.na/Geingob-expected-to-shed-more-light-on-Harambee-Plan/39065/read
527399283	20150406	201504	2015	2015.263	LEG	PARLIAMENT						LEG													1	10	10	1	1	0	50	4	50	-2.0843654019	1	Jamaica	JM	JM	18.25	-77.5	JM	0							1	Jamaica	JM	JM	18.25	-77.5	JM	20160405	http://www.entornointeligente.com/articulo/8198252/JAMAICA-Phillips-says-lack-of-gov
527399284	20150406	201504	2015	2015.263	MED	COMMENTATOR						MED			GOV	PRESIDENT						GOV			0	10	10	1	1	0	24	3	24	1.0559984768	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	20160405	http://www.namibian.com.na/Geingob-expected-to-shed-more-light-on-Harambee-Plan/39065/read
527399285	20150406	201504	2015	2015.263	MEX	MEXICO	MEX								JUD	FEDERAL COURT						JUD			1	60	60	6	2	6	186	27	174	-7.9210579952	3	Gulf Of Mexico, Louisiana, United States	US	USLA	29.1869	-89.9367	558730	3	Gulf Of Mexico, Louisiana, United States	US	USLA	29.1869	-89.9367	558730	3	Gulf Of Mexico, Louisiana, United States	US	USLA	29.1869	-89.9367	558730	20160405	https://www.yahoo.com/news/latest-states-environmentalists-weighing-bp-pact-230247282.html
527399286	20150406	201504	2015	2015.263	NAM	NAMIBIA	NAM								GOV	PRESIDENT						GOV			0	13	13	1	1	0.4	12	3	12	1.0559984768	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	20160405	http://www.namibian.com.na/Geingob-expected-to-shed-more-light-on-Harambee-Plan/39065/read
527399287	20150406	201504	2015	2015.263	NAMMED	NAMIBIA	NAM					MED			GOV	PRESIDENT						GOV			0	10	10	1	1	0	6	3	6	1.0559984768	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	1	Namibia	WA	WA	-22	17	WA	20160405	http://www.namibian.com.na/Geingob-expected-to-shed-more-light-on-Harambee-Plan/39065/read
527399288	20150406	201504	2015	2015.263	QAT	QATAR	QAT								CVL	TOURIST						CVL			1	36	36	3	1	4	4	1	4	5.7926829268	4	Al Wakrah, Al Wakrah, Qatar	QA	QA10	25.1715	51.6034	-785285	4	Doha, Ad Daw?ah, Qatar	QA	QA01	25.2867	51.5333	-785169	4	Al Wakrah, Al Wakrah, Qatar	QA	QA10	25.1715	51.6034	-785285	20160405	http://www.gulf-times.com/story/487327/Doha-Bank-staffers-in-clean-up-campaign-at-Al-Wakr
527399289	20150406	201504	2015	2015.263	QAT	QATAR	QAT								CVL	TOURIST						CVL			1	36	36	3	1	4	2	1	2	5.7926829268	4	Al Wakrah, Al Wakrah, Qatar	QA	QA10	25.1715	51.6034	-785285	4	Al Wakrah, Al Wakrah, Qatar	QA	QA10	25.1715	51.6034	-785285	4	Al Wakrah, Al Wakrah, Qatar	QA	QA10	25.1715	51.6034	-785285	20160405	http://www.gulf-times.com/story/487327/Doha-Bank-staffers-in-clean-up-campaign-at-Al-Wakr
